oid,type,value
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.5.24100,OctetString,"""2026-07-15 11:07:43"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.5.24102,OctetString,"""2026-07-15 17:13:37"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.5.24103,OctetString,"""2026-07-16 03:53:00"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.5.24104,OctetString,"""2026-07-16 03:53:00"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.5.24127,OctetString,"""2026-07-17 02:21:27"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.6.24098,OctetString,"""Huawei eMap"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.6.24100,OctetString,"""Huawei eMap"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.6.24102,OctetString,"""Huawei eMap"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.6.24103,OctetString,"""Huawei eMap"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.6.24104,OctetString,"""Huawei eMap"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.6.24127,OctetString,"""Huawei eMap"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.7.24098,Gauge32,1
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.7.24100,Gauge32,1
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.7.24102,Gauge32,1
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.7.24103,Gauge32,1
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.7.24104,Gauge32,1
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.7.24127,Gauge32,1
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.8.24098,OctetString,"""net identifier"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.8.24100,OctetString,"""net identifier"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.8.24102,OctetString,"""net identifier"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.8.24103,OctetString,"""net identifier"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.8.24104,OctetString,"""net identifier"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.8.24127,OctetString,"""net identifier"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.9.24098,OctetString,"""huawei description"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.9.24100,OctetString,"""huawei description"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.9.24102,OctetString,"""huawei description"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.9.24103,OctetString,"""huawei description"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.9.24104,OctetString,"""huawei description"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.9.24127,OctetString,"""huawei description"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.10.24098,Gauge32,0
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.10.24100,Gauge32,0
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.10.24102,Gauge32,0
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.10.24103,Gauge32,0
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.10.24104,Gauge32,0
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.10.24127,Gauge32,0
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.11.24098,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.11.24100,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.11.24102,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.11.24103,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.11.24104,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.11.24127,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538322929,Gauge32,538322929
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538322930,Gauge32,538322930
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538327968,Gauge32,538327968
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538327973,Gauge32,538327973
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538328000,Gauge32,538328000
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538328001,Gauge32,538328001
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538328002,Gauge32,538328002
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538328010,Gauge32,538328010
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374144,Gauge32,538374144
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374145,Gauge32,538374145
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374285,Gauge32,538374285
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374286,Gauge32,538374286
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374355,Gauge32,538374355
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374356,Gauge32,538374356
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374360,Gauge32,538374360
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374361,Gauge32,538374361
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374416,Gauge32,538374416
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374538,Gauge32,538374538
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.538374539,Gauge32,538374539
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147549292,Gauge32,2147549292
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147549604,Gauge32,2147549604
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550734,Gauge32,2147550734
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550736,Gauge32,2147550736
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550737,Gauge32,2147550737
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550739,Gauge32,2147550739
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550740,Gauge32,2147550740
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550741,Gauge32,2147550741
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550742,Gauge32,2147550742
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550743,Gauge32,2147550743
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550744,Gauge32,2147550744
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550751,Gauge32,2147550751
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550752,Gauge32,2147550752
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147550753,Gauge32,2147550753
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147558008,Gauge32,2147558008
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147558009,Gauge32,2147558009
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559284,Gauge32,2147559284
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559315,Gauge32,2147559315
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559336,Gauge32,2147559336
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559337,Gauge32,2147559337
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559338,Gauge32,2147559338
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559339,Gauge32,2147559339
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559353,Gauge32,2147559353
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559354,Gauge32,2147559354
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559355,Gauge32,2147559355
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559356,Gauge32,2147559356
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559357,Gauge32,2147559357
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559359,Gauge32,2147559359
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559360,Gauge32,2147559360
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559361,Gauge32,2147559361
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559362,Gauge32,2147559362
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559363,Gauge32,2147559363
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559364,Gauge32,2147559364
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559365,Gauge32,2147559365
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559366,Gauge32,2147559366
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559367,Gauge32,2147559367
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559368,Gauge32,2147559368
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559369,Gauge32,2147559369
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559370,Gauge32,2147559370
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559371,Gauge32,2147559371
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559372,Gauge32,2147559372
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559373,Gauge32,2147559373
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559374,Gauge32,2147559374
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559375,Gauge32,2147559375
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559376,Gauge32,2147559376
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559377,Gauge32,2147559377
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559396,Gauge32,2147559396
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559408,Gauge32,2147559408
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559415,Gauge32,2147559415
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559416,Gauge32,2147559416
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559417,Gauge32,2147559417
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559418,Gauge32,2147559418
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559419,Gauge32,2147559419
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559420,Gauge32,2147559420
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559421,Gauge32,2147559421
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559422,Gauge32,2147559422
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559423,Gauge32,2147559423
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559424,Gauge32,2147559424
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559425,Gauge32,2147559425
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559426,Gauge32,2147559426
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559427,Gauge32,2147559427
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559428,Gauge32,2147559428
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559429,Gauge32,2147559429
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559430,Gauge32,2147559430
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559431,Gauge32,2147559431
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559432,Gauge32,2147559432
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559433,Gauge32,2147559433
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559434,Gauge32,2147559434
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559447,Gauge32,2147559447
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559448,Gauge32,2147559448
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559449,Gauge32,2147559449
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559451,Gauge32,2147559451
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559452,Gauge32,2147559452
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559453,Gauge32,2147559453
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559454,Gauge32,2147559454
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559455,Gauge32,2147559455
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559456,Gauge32,2147559456
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559457,Gauge32,2147559457
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559458,Gauge32,2147559458
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559459,Gauge32,2147559459
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559480,Gauge32,2147559480
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559481,Gauge32,2147559481
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147559483,Gauge32,2147559483
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564440,Gauge32,2147564440
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564441,Gauge32,2147564441
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564444,Gauge32,2147564444
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564445,Gauge32,2147564445
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564449,Gauge32,2147564449
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564450,Gauge32,2147564450
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564454,Gauge32,2147564454
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564455,Gauge32,2147564455
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564456,Gauge32,2147564456
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564466,Gauge32,2147564466
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564467,Gauge32,2147564467
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564468,Gauge32,2147564468
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564469,Gauge32,2147564469
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564473,Gauge32,2147564473
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564474,Gauge32,2147564474
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564475,Gauge32,2147564475
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564476,Gauge32,2147564476
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564477,Gauge32,2147564477
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564478,Gauge32,2147564478
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564479,Gauge32,2147564479
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564480,Gauge32,2147564480
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564489,Gauge32,2147564489
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564491,Gauge32,2147564491
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564492,Gauge32,2147564492
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564493,Gauge32,2147564493
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564514,Gauge32,2147564514
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147564516,Gauge32,2147564516
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569971,Gauge32,2147569971
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569972,Gauge32,2147569972
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569973,Gauge32,2147569973
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569974,Gauge32,2147569974
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569977,Gauge32,2147569977
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569978,Gauge32,2147569978
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569979,Gauge32,2147569979
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569980,Gauge32,2147569980
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569982,Gauge32,2147569982
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569983,Gauge32,2147569983
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569984,Gauge32,2147569984
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569985,Gauge32,2147569985
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569987,Gauge32,2147569987
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569988,Gauge32,2147569988
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569989,Gauge32,2147569989
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147569990,Gauge32,2147569990
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147586150,Gauge32,2147586150
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147586152,Gauge32,2147586152
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147586160,Gauge32,2147586160
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147589338,Gauge32,2147589338
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147589340,Gauge32,2147589340
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147589341,Gauge32,2147589341
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147610780,Gauge32,2147610780
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147610790,Gauge32,2147610790
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147611028,Gauge32,2147611028
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147611029,Gauge32,2147611029
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147611030,Gauge32,2147611030
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616322,Gauge32,2147616322
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616323,Gauge32,2147616323
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616324,Gauge32,2147616324
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616327,Gauge32,2147616327
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616328,Gauge32,2147616328
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616329,Gauge32,2147616329
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616333,Gauge32,2147616333
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616334,Gauge32,2147616334
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616335,Gauge32,2147616335
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616336,Gauge32,2147616336
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147616337,Gauge32,2147616337
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147623533,Gauge32,2147623533
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147623534,Gauge32,2147623534
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147676357,Gauge32,2147676357
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689056,Gauge32,2147689056
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689058,Gauge32,2147689058
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689059,Gauge32,2147689059
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689060,Gauge32,2147689060
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689061,Gauge32,2147689061
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689062,Gauge32,2147689062
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689063,Gauge32,2147689063
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689064,Gauge32,2147689064
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689065,Gauge32,2147689065
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689066,Gauge32,2147689066
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689069,Gauge32,2147689069
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689071,Gauge32,2147689071
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147689075,Gauge32,2147689075
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147746495,Gauge32,2147746495
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147746496,Gauge32,2147746496
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147746497,Gauge32,2147746497
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147746498,Gauge32,2147746498
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147746528,Gauge32,2147746528
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147755893,Gauge32,2147755893
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147755895,Gauge32,2147755895
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147755898,Gauge32,2147755898
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147755900,Gauge32,2147755900
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756512,Gauge32,2147756512
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756513,Gauge32,2147756513
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756515,Gauge32,2147756515
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756518,Gauge32,2147756518
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756523,Gauge32,2147756523
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756524,Gauge32,2147756524
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756525,Gauge32,2147756525
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756526,Gauge32,2147756526
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756527,Gauge32,2147756527
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756540,Gauge32,2147756540
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756548,Gauge32,2147756548
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756549,Gauge32,2147756549
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756574,Gauge32,2147756574
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756575,Gauge32,2147756575
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756576,Gauge32,2147756576
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756585,Gauge32,2147756585
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756587,Gauge32,2147756587
.1.3.6.1.4.1.2011.6.164.1.1.2.100.1.1.2147756588,Gauge32,2147756588
